symbol,exchange,type,organ_short_name,organ_name,product_grp_id,icb_code2
VNF,HNX,STOCK,VINAFREIGHT,Công ty Cổ phần Vinafreight,STX,2700
VNE,HSX,STOCK,Xây dựng điện Việt Nam,Tổng Công ty Cổ phần Xây dựng điện Việt Nam,STO,2300
VND,HSX,STOCK,Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT,STO,8700
VNC,HNX,STOCK,VINACONTROL,Công ty Cổ phần Tập đoàn Vinacontrol,STX,2700
VMS,HNX,STOCK,Phát triển Hàng Hải,Công ty Cổ phần Phát triển Hàng Hải,STX,2700
VMD,HSX,STOCK,Y Dược phẩm Vimedimex,Công ty Cổ phần Y Dược phẩm Vimedimex,STO,4500
VMC,HNX,STOCK,VIMECO,Công ty Cổ phần VIMECO,STX,2300
VLA,HNX,STOCK,PT Công nghệ Văn Lang,Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn Lang,STX,9500
VJC,HSX,STOCK,Vietjet Air,Công ty Cổ phần Hàng không Vietjet,STO,5700
VIX,HSX,STOCK,Chứng khoán VIX,Công ty Cổ phần Chứng khoán VIX,STO,8700
VIT,HNX,STOCK,Viglacera Tiên Sơn,Công ty Cổ phần Viglacera Tiên Sơn,STX,2300
VIP,HSX,STOCK,Vận tải Xăng dầu VIPCO,Công ty Cổ phần Vận tải Xăng dầu VIPCO,STO,2700
VIG,HNX,STOCK,Chứng khoán Đầu tư Tài chính Việt Nam,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,STX,8700
VIF,HNX,STOCK,Lâm nghiệp Việt Nam,Tổng Công ty Lâm nghiệp Việt Nam - Công ty Cổ phần,STX,1700
VID,HSX,STOCK,Viễn Đông,Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông,STO,1700
VIC,HSX,STOCK,VinGroup,Tập đoàn Vingroup - Công ty CP,STO,8600
VIB,HSX,STOCK,VIBBank,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,STO,8300
VHM,HSX,STOCK,Vinhomes,Công ty Cổ phần Vinhomes,STO,8600
VHL,HNX,STOCK,Viglacera Hạ Long,Công ty Cổ phần Viglacera Hạ Long,STX,2300
VHE,HNX,STOCK,Dược liệu và Thực phẩm VN,Công ty Cổ phần Dược liệu và Thực phẩm Việt Nam,STX,4500
VHC,HSX,STOCK,Thủy sản Vĩnh Hoàn,Công ty Cổ phần Vĩnh Hoàn,STO,3500
VGS,HNX,STOCK,Ống thép Việt Đức,Công ty Cổ phần Ống thép Việt - Đức VG PIPE,STX,1700
VGP,HNX,STOCK,Cảng Rau Quả,Công ty Cổ phần Cảng Rau Quả,STX,2700
VGC,HSX,STOCK,Tổng Công ty Viglacera,Tổng Công ty Viglacera - Công ty Cổ phần,STO,2300
VFS,HNX,STOCK,Chứng khoán Nhất Việt,Công ty Cổ phần Chứng khoán Nhất Việt,STX,8700
VFG,HSX,STOCK,Khử trùng Việt Nam,Công ty Cổ phần Khử trùng Việt Nam,STO,1300
VE4,HNX,STOCK,Xây dựng điện VNECO4,Công ty Cổ phần Xây dựng điện VNECO4,STX,2300
VE3,HNX,STOCK,Xây dựng điện VNECO 3,Công ty Cổ phần Xây dựng điện VNECO 3,STX,2300
VE1,HNX,STOCK,VNECO 1,Công ty Cổ phần Xây dựng điện VNECO 1,STX,2300
VDS,HSX,STOCK,Chứng khoán Rồng Việt,Công ty Cổ phần Chứng khoán Rồng Việt,STO,8700
VDP,HSX,STOCK,Dược phẩm VIDIPHA,Công ty Cổ phần Dược phẩm Trung ương VIDIPHA,STO,4500
VDL,HNX,STOCK,Thực phẩm Lâm Đồng,Công ty Cổ phần Thực phẩm Lâm Đồng,STX,3500
VCS,HNX,STOCK,VICOSTONE,Công ty Cổ phần VICOSTONE,STX,2300
VCM,HNX,STOCK,BV Life,Công ty Cổ phần BV Life,STX,2700
VCK,HSX,STOCK,Chứng Khoán VPS,Công ty Cổ phần Chứng Khoán VPS,STO,8700
VCI,HSX,STOCK,Chứng khoán Vietcap,Công ty Cổ phần Chứng khoán Vietcap,STO,8700
VCG,HSX,STOCK,VINACONEX,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,STO,2300
VCF,HSX,STOCK,VinaCafé Biên Hòa,Công ty Cổ phần VinaCafé Biên Hòa,STO,3500
VCC,HNX,STOCK,Vinaconex 25,Công ty Cổ phần Vinaconex 25,STX,2300
VCB,HSX,STOCK,Vietcombank,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,STO,8300
VCA,HSX,STOCK,Thép VICASA - VNSTEEL,Công ty Cổ phần Thép VICASA - VNSTEEL,STO,1700
VC9,HNX,STOCK,Xây dựng số 9,Công ty Cổ phần Xây dựng số 9 - VC9,STX,2300
VC7,HNX,STOCK,BGI Group,Công ty Cổ phần Tập đoàn BGI,STX,2300
VC6,HNX,STOCK,Visicons,Công ty cổ phần Xây dựng và Đầu tư Visicons,STX,2300
VC3,HNX,STOCK,Tập đoàn Nam Mê Kông,Công ty Cổ phần Tập đoàn Nam Mê Kông,STX,8600
VC2,HNX,STOCK,Đầu tư và Xây dựng VINA2,Công ty Cổ phần Đầu tư và Xây dựng VINA2,STX,2300
VC1,HNX,STOCK,Xây dựng số 1,Công ty Cổ phần Xây dựng số 1,STX,2300
VBC,HNX,STOCK,Nhựa - Bao bì Vinh,"Công ty Cổ phần Nhựa, Bao bì Vinh",STX,2700
VAF,HSX,STOCK,Phân lân Văn Điển,Công ty Cổ phần Phân lân nung chảy Văn Điển,STO,1300
VAB,HSX,STOCK,Ngân hàng Việt Á,Ngân hàng Thương mại Cổ phần Việt Á,STO,8300
V21,HNX,STOCK,Vinaconex 21,Công ty Cổ phần Vinaconex 21,STX,8600
